;;Cod.;Descrizione;Libero 4;Q.tà in giacenza;Fornitore;Ubicazione;Note
;No;85j1w051;Lamè Oro Gr 100;P.ta 2504;40;ilcat;BL-3;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.
;No;13661;Lamè Prato Gr 100;Pta 2409;30;ilcat;BL-4;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.
;No;s4mvrctw;Lamè Rame Gr 100;P.ta 4110;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.  [P.ta  4110]
;No;2d5kwhmg;Lamè Rosso Gr 100;P.ta 2526;18;ilcat;BL-5;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi. [P.ta 1605]
;No;7415;Lamè Rosso Oro Gr 100;P.ta 1408;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.  [P.ta  1408]
;No;14175;Lamè Rubino Gr 100;p.ta 2023;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi. [P.ta 2023]
;No;14176;Lamè Ruggine Gr 100;P.ta 170713;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi. [P.ta  170713]
;No;7550;Lamè Tortora Bronzo gr 100;;0;ilcat;;Filato Lamè per inserti o da binare con altri filati-Composizione 50%Poliammide-40%Poliestere-10%Viscosa-[P.ta  0210]
;No;7687;Lamè Turchese gr 100;P.ta 1405;40;ilcat;BL-6;Filato Lamè per inserti o da binare con altri filati Composizione 50%Poliammide 40%Poliestere 10%Viscosa
;No;7551;Lamè Verde Gr 100;P.ta 2012;30;ilcat;BL-7;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.
;No;7218;Lamè Viola Argento Gr 100;;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi. [P.ta  1007]
;No;nsvlmoyn;Lamè Viola Gr 100;P.ta 2003;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi. [P.ta  170713]
;No;0sa3prrq;Lamè Zucca Halloween Gr 100;;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.  [P.ta  1201103]
;No;40441;Lennon Blu marine Gr 250;P.ta R2333103;0;Cofil S.R.L.;;Filato in rocca con inserto di micropaillettes. Composizione 69% Cotone 31% Poliestere. Peso 250 grammi Metri 600. Consigliati ferri 5-7 Uncinetto 4-6.
;No;40439;Lennon Cipria Gr 250;P.ta R2592401;0;Cofil S.R.L.;;Filato in rocca con inserto di micropaillettes. Composizione 69% Cotone 31% Poliestere. Peso 250 grammi Metri 600. Consigliati ferri 5-7 Uncinetto 4-6.
;No;40442;Lennon Grigio Gr 250;P.ta R2333105;0;Cofil S.R.L.;;Filato in rocca con inserto di micropaillettes. Composizione 69% Cotone 31% Poliestere. Peso 250 grammi Metri 600. Consigliati ferri 5-7 Uncinetto 4-6.
;No;40440;Lennon Naturale Gr 250;P.ta R2592402;0;Cofil S.R.L.;;Filato in rocca con inserto di micropaillettes. Composizione 69% Cotone 31% Poliestere. Peso 250 grammi Metri 600. Consigliati ferri 5-7 Uncinetto 4-6.
;No;40438;Lennon Nero Gr 250;P.ta R2333104;0;Cofil S.R.L.;;Filato in rocca con inserto di micropaillettes. Composizione 69% Cotone 31% Poliestere. Peso 250 grammi Metri 600. Consigliati ferri 5-7 Uncinetto 4-6.
;No;40443;Lennon Ruggine Gr 250;P.ta R2333106;0;Cofil S.R.L.;;Filato in rocca con inserto di micropaillettes. Composizione 69% Cotone 31% Poliestere. Peso 250 grammi Metri 600. Consigliati ferri 5-7 Uncinetto 4-6.
;No;43187;Marlene Arancio gr 250;P.ta R2385807;152;Cofil S.R.L.;BI-5;Fettuccia in rocca con effetto intrecciata in cotone e filato luminoso. Composizione 62% Cotone 35% Poliestere 3% Metalfiber . Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 5-7 Uncinetto 3.5-5.
;No;43185;Marlene Beige gr 250;P.ta R2385805;209;Cofil S.R.L.;BI-9;Fettuccia in rocca con effetto intrecciata in cotone e filato luminoso. Composizione 62% Cotone 35% Poliestere 3% Metalfiber . Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 5-7 Uncinetto 3.5-5.
;No;43183;Marlene Grigio gr 250;P.ta R2385803;219;Cofil S.R.L.;BI-11;Fettuccia in rocca con effetto intrecciata in cotone e filato luminoso. Composizione 62% Cotone 35% Poliestere 3% Metalfiber . Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 5-7 Uncinetto 3.5-5.
;No;43188;Marlene Magenta gr 250;P.ta R2385808;200;Cofil S.R.L.;BI-13;Fettuccia in rocca con effetto intrecciata in cotone e filato luminoso. Composizione 62% Cotone 35% Poliestere 3% Metalfiber . Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 5-7 Uncinetto 3.5-5.
;No;43182;Marlene Panna gr 250;P.ta R2385802;218;Cofil S.R.L.;BI-15;Fettuccia in rocca con effetto intrecciata in cotone e filato luminoso. Composizione 62% Cotone 35% Poliestere 3% Metalfiber . Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 5-7 Uncinetto 3.5-5.
;No;43184;Marlene Verde gr 250;P.ta R2385804;219;Cofil S.R.L.;BH-7;Fettuccia in rocca con effetto intrecciata in cotone e filato luminoso. Composizione 62% Cotone 35% Poliestere 3% Metalfiber . Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 5-7 Uncinetto 3.5-5.
;No;40433;MarleyCott Glicine Glicine gr 250;P.ta R2448304;197;Cofil S.R.L.;BI-3;Filato in rocca con inserti lurex. Composizione 55% Cotone 20% Poliestere 9% Poliammide 12% fibra metallica, 4% altre fibre. Peso 250 grammi Metri 450. Consigliati ferri 6-8 Uncinetto 5-7
;No;40437;MarleyCott Grigio Argento gr 250;P.ta 2448301/1;0;Cofil S.R.L.;;Filato in rocca con inserti lurex. Composizione 55% Cotone 20% Poliestere 9% Poliammide 12% fibra metallica, 4% altre fibre. Peso 250 grammi Metri 450. Consigliati ferri 6-8 Uncinetto 5-7
;No; 53194;Olly Bordeaux Grammi 200;;60;Giletti S.P.A.;BH-1;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;250197;Olly Celeste Grammi 200;;60;Giletti S.P.A.;BH-1;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No; 250196;Olly Lilla Grammi 200;;60;Giletti S.P.A.;BH-2;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;53195;Olly Marrone Grammi 200;;60;Giletti S.P.A.;BH-2;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;53196;Olly Militare Grammi 200;;60;Giletti S.P.A.;BH-3;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No; 53197;Olly Nero Grammi 200;;60;Giletti S.P.A.;BH-3;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No; 53198;Olly Panna Grammi 200;;60;Giletti S.P.A.;BH-4;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;53199;Olly Perla Grammi 200;;60;Giletti S.P.A.;BH-4;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;53200;Olly Petrolio Grammi 200;;60;Giletti S.P.A.;BH-5;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No; 250195;Olly Rosa Grammi 200;;60;Giletti S.P.A.;BH-5;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;53201;Olly Sabbia Grammi 200;;30;Giletti S.P.A.;BH-6;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;250198;Olly Salvia Grammi 200;;60;Giletti S.P.A.;BH-6;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da grammi 200 lunghezza mt 40 circa e un diametro di mm 5. Adatto per la realizzazione di borse, cestini, tappeti, creazioni home decor e per il macramè. Gli strumenti consigliati per lavorare il cordino Olly sono uncinetti 9-10+. Il cordino Olly è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12325;Patsy Naked colore Argento gr 100;P.ta 7016V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No;12323;Patsy Naked colore Avio gr 100;P.ta 7016V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No; 12318;Patsy Naked colore Beige Oro gr 100;P.ta 2050V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No; 12324;Patsy Naked colore Blu gr 100;P.ta 9101V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No;12322;Patsy Naked colore Bordeaux gr 100;P.ta 7606V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No;12326;Patsy Naked colore Candido gr 100;P.ta 1201V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No;12320;Patsy Naked colore Nero gr 100;P.ta 6001V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No;12321;Patsy Naked colore Rosa Antico gr 100;P.ta 1000V;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No; 12332;Patsy Naked colore Rosso gr 100;P.ta 89301;0;Cofil S.R.L.;;"Filato Micropaillettes in rocca Composizione 100%Poliestere. Peso 100 gr Lunghezza 780 mt
Consigliati ferri n.3/5-Uncinetto 2,5-4,00,
Studiato come filo da abbinamento ad altri filati dalla resa davvero lunghissima."
;No;9914;Rowen Acido Grammi 200;P.ta R2390904;185;Cofil S.R.L.;BI-5;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9896;Rowen Acqua Grammi 200;P.ta R1889805;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9906;Rowen Amarena Grammi 200;P.ta 9204;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9912;Rowen Arancio Grammi 200;[P.ta R1890003];0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9905;Rowen Azzurro Grammi 200;P.ta 1809006;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9880;Rowen Bianco Grammi 200;P.ta R1889801;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9892;Rowen Cipria Grammi 200;P.ta R2762803;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9902;Rowen Crema Grammi 200;P.ta R2442803;160;Cofil S.R.L.;BI-1;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9907;Rowen Fuxia Grammi 200;P.ta R1889901;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9908;Rowen Glicine Grammi 200;P.ta r1890008;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9911;Rowen Militare Grammi 200;[P.ta R1889804];0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9899;Rowen Naturale Grammi 200;P.ta R2598303;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9901;Rowen Nero Grammi 200;P.ta R2598303;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9910;Rowen Notte Grammi 200;[P.ta r1890005];0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9913;Rowen Oro Grammi 200;P.ta R2762802;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9898;Rowen Perla Grammi 200;[P.ta R2206302];0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9890;Rowen Pesca Grammi 200;P.ta R2598302;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9895;Rowen Prato Grammi 200;P.ta 1809201;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9900;Rowen Rame Grammi 200;P.ta R2762801;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9904;Rowen Rosa Grammi 200;P.ta R2442801;150;Cofil S.R.L.;BI-2;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9909;Rowen Rosso Grammi 200;[P.ta r1809201];0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9891;Rowen Royal Grammi 200;[P.ta R1830002];0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9903;Rowen Smeraldo Grammi 200;P.ta R1889806;152;Cofil S.R.L.;BI-6;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9893;Rowen Verde Grammi 200;P.ta 1889907;0;Cofil S.R.L.;;Cordino lucido per borse e gioielli. Composizione 60%Cotone 40% poliestere Consigliati ferri 3-4 Uncinetto 2-3. Consegnato in Rocca Peso Grammi 200 Lunghezza metri 250 ca diametro mm1,4 ca Prodotto 100% Made in ITALY
;No;9473;SuperThai Avio Grammi 200;P.ta 02;120;Filsaronno Srl;BC-1;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9486;SuperThai Azzurro Grammi 200;P.ta 2;120;Filsaronno Srl;BC-2;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9482;SuperThai Beige Grammi 200;P.ta 02;120;Filsaronno Srl;BC-3;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9462;SuperThai Bianco Grammi 200;P.ta 02;90;Filsaronno Srl;BC-4;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9472;SuperThai Blu Grammi 200;P.ta 02;60;Filsaronno Srl;BC-5;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9470;SuperThai Bordeaux Grammi 200;P.ta 03;120;Filsaronno Srl;BC-6;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9484;SuperThai Caffè Grammi 200;P.ta 02;120;Filsaronno Srl;BC-7;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9474;SuperThai Cipria Grammi 200;P.ta 2;90;Filsaronno Srl;BC-8;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9467;SuperThai Giada Grammi 200;P.ta 02;90;Filsaronno Srl;BC-9;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9480;SuperThai Glicine Grammi 200;P.ta 2;90;Filsaronno Srl;BC-9;Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9479;SuperThai Grigio Grammi 200;P.ta 02;90;Filsaronno Srl;BC-10;"Cordino Italiano Super Thai Poliestere e Poliammide. Il massimo del comfort nella lavorazione delle borse. Formato rocca da 200 grammi per una lunghezza di 120 metri ca con un diametro di mm 3 ca. Consigliato uncinetto 4 - 5.  Il cordino Super Thai è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
[P.ta 02]"
